Date,Open,High,Low,Close*,
"Dec 14, 2022",346,347.35,343.75,345.4,
"Dec 13, 2022",344.5,346,342.4,345.6,
"Dec 12, 2022",341,344,340.1,343.2,
"Dec 09, 2022",339.75,342.5,338,341.4,
"Dec 08, 2022",340.2,342.15,337.5,338.4,
"Dec 07, 2022",338.5,341.5,336.65,340.1,
"Dec 06, 2022",334.1,338.2,334.1,337.3,
"Dec 05, 2022",337.65,338.85,334.15,336.75,
"Dec 02, 2022",339.35,340.8,336.75,337.15,
"Dec 01, 2022",341.7,341.7,336.8,339.55,
"Nov 30, 2022",341.25,344.15,339,340,
"Nov 29, 2022",340,345,340,342.3,
"Nov 28, 2022",340,341.75,338.75,340.05,
"Nov 25, 2022",341,341.9,337.8,340.3,
"Nov 24, 2022",339.8,342.5,337.55,340.75,
"Nov 23, 2022",342,342,337.5,339.8,
"Nov 22, 2022",337,341,335.7,340.25,
"Nov 21, 2022",339.1,340,334.4,337.2,
"Nov 18, 2022",343.7,344.75,339.8,341.05,
"Nov 17, 2022",344.1,347.45,342.6,343.7,
"Nov 16, 2022",345.7,346.85,341.65,344.1,
"Nov 15, 2022",348.95,348.95,339.15,345.25,
"Nov 14, 2022",356.35,356.95,346.6,347.2,
"Nov 11, 2022",360,360.95,354.65,356.35,
"Nov 10, 2022",359,359.9,354.1,356,
"Nov 09, 2022",353.5,361.45,353.2,360.7,
"Nov 07, 2022",355,356.35,350,353.5,
"Nov 04, 2022",354,356,352.5,353.6,
"Nov 03, 2022",354,358.5,353,353.7,
"Nov 02, 2022",348.5,356.25,348.5,354.65,
"Nov 01, 2022",349.25,350.5,347.2,349.5,
"Oct 31, 2022",348,350.5,344.75,348.7,
"Oct 28, 2022",347.55,348.6,345.1,345.8,
"Oct 27, 2022",346.65,348.35,343.85,345.8,
"Oct 25, 2022",349.45,349.5,343.65,346.3,
"Oct 24, 2022",348.95,349.7,347,347.7,
"Oct 21, 2022",353.2,353.2,344.5,345.6,
"Oct 20, 2022",347,350.95,344.8,349.7,
"Oct 19, 2022",343.1,347.45,339.8,346.35,
"Oct 18, 2022",333.95,341,333.55,340.3,
"Oct 17, 2022",331.1,334.75,329.6,332.25,
"Oct 14, 2022",332.3,333.9,330.85,332.1,
"Oct 13, 2022",329.95,331.3,328,328.65,
"Oct 12, 2022",327.95,331.45,324.75,330.1,
"Oct 11, 2022",329,330.45,325.1,326.3,
"Oct 10, 2022",330,331.45,326.05,327.85,
"Oct 07, 2022",336.8,336.85,331.3,334.1,
"Oct 06, 2022",335,339.3,332.55,336.65,
"Oct 04, 2022",328.7,334,328,332.85,
"Oct 03, 2022",332.9,333,323.25,324.4,
"Sep 30, 2022",333.05,335.75,330.15,332.2,
"Sep 29, 2022",329,334.9,327.75,333.05,
"Sep 28, 2022",331.95,333.3,324.3,324.95,
"Sep 27, 2022",335,339.55,334,334.85,
"Sep 26, 2022",344.85,345.95,331.75,332.6,
"Sep 23, 2022",347.5,349.55,343.3,346.4,
"Sep 22, 2022",341,348.75,340.9,345.05,
"Sep 21, 2022",336,345.2,335.5,340.95,
"Sep 20, 2022",338.75,339.6,335,336,
"Sep 19, 2022",329.1,336.9,329.1,335.6,
"Sep 16, 2022",332.35,334.6,329.7,331.3,
"Sep 15, 2022",336.4,337.05,332.9,334.1,
"Sep 14, 2022",331,339,330.95,335.35,
"Sep 13, 2022",331.7,335,330.6,334.4,
"Sep 12, 2022",332,332.4,330,330.9,
"Sep 09, 2022",330.6,333.3,330,330.5,
"Sep 08, 2022",329,330.6,327.5,329.9,
"Sep 07, 2022",326,328.3,325.25,326.1,
"Sep 06, 2022",330,330,326.4,327.15,
"Sep 05, 2022",325,329.6,323.75,328.85,
"Sep 02, 2022",318.7,324.25,318.05,323.15,
"Sep 01, 2022",319.5,321.9,316,317.6,
"Aug 30, 2022",314.25,321.4,314.25,320.5,
"Aug 29, 2022",310,314.95,308.85,313.55,
"Aug 26, 2022",314.75,315.4,312,312.9,
"Aug 25, 2022",315.45,316.4,311.6,312.35,
"Aug 24, 2022",315.75,319.45,313.05,314.1,
"Aug 23, 2022",312.95,316,312.1,315.9,
"Aug 22, 2022",311.2,317,311,314.4,
"Aug 19, 2022",316.15,316.15,311.2,312,
"Aug 18, 2022",313,316,312.6,315.65,
"Aug 17, 2022",311.7,313.25,311,312.55,
"Aug 16, 2022",308.55,311.5,308.55,310.55,
"Aug 12, 2022",306.25,309.4,304.5,308.55,
"Aug 11, 2022",313,313.45,305.3,306.25,
"Aug 10, 2022",313.15,314.1,310.75,311.2,
"Aug 08, 2022",310.95,313.95,310.05,313.15,
"Aug 05, 2022",309.5,311.8,309.1,310.85,
"Aug 04, 2022",308,310.35,307.15,309.5,
"Aug 03, 2022",310.9,310.9,303.65,308.15,
"Aug 02, 2022",310,316.65,308.2,309.95,
"Aug 01, 2022",304,308.8,303.1,307.5,
"Jul 29, 2022",305,305.9,301.35,303.05,
"Jul 28, 2022",304.9,305.2,302.4,303.45,
"Jul 27, 2022",302.85,305,300.6,304.15,
"Jul 26, 2022",301,303.75,300.45,302.45,
"Jul 25, 2022",299,302.95,298.8,301.1,
"Jul 22, 2022",300,302.5,298.1,300.55,
"Jul 21, 2022",299,302.2,298,299.55,
"Jul 20, 2022",294.9,299.5,293.6,298.2,
"Jul 19, 2022",295,295.6,292.7,294.6,
"Jul 18, 2022",295,296.3,293.75,295.3,
